parcel_id,building_no,Total Rooms,Year Built,Building SF,Energy Adj,Roughins,Bedrooms,Effect Age,Quality,Bsmt Wall,Plumb Fixt,Full Baths,Condition,Style,Bsmt SF,Fireplaces,Half Baths,Phys Depr,Design,Bsmt Fin,Porch,Kitchens,Funct Depr,Bldg Type,Bsmt Fin SF,Gar/Shed,Econ Depr,Notes
001014,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0010142,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
002000,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0020001,1,8,1983,1240.00,Average,1,3,43,3.50,Conc 8in,8,2,Avg/Good,1.5 Fin,760,1,,22,1.5 Sty,2,672,1,,Single,660,,,
0020002,1,14,1900,3552.00,Average,2,7,70,3.50,Conc 8in,15,4,Fair/Avg,2 Story,936,,,47,Colonial,1,954,2,,Single,,,,
0020003,1,8,1977,3941.00,Average,2,4,49,3.50,Conc 8in,15,3,Fair/Avg,1.5 Fin,796,1,1,37,Contemp,3,962,2,5,Single,377,772,,
0020004,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
002000401,1,9,2017,5842.00,Excellent,1,5,9,5.50,Conc 8in,16,4,Average,2 Story,462,1,,9,Two Story,,848,1,,Single,,,,
002000402,1,5,2015,2000.00,Excellent,1,3,11,4.50,Conc 8in,11,2,Average,1.5 Fin,1308,,1,11,1.5 Sty,,776,1,,Single,,,,
0020006,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
0020007,1,16,1850,3867.00,Average,1,8,70,4.50,Stone,15,3,Good,2 Story,999,,1,28,Two Story,1,922,3,,Single,,559,,
0020011,1,8,1850,2428.00,Average,1,4,80,3.25,Stone,5,1,Poor,1.5 Fin,1214,,,66,CapeCod,,314,1,,Single,,748,,
0020012,1,10,1976,2080.00,Average,1,4,50,5.00,Conc 8in,13,3,Good,2 Story,1036,1,1,20,Contemp,4,997,1,,Single,972,484,,
0020013,1,5,1973,1677.00,Average,1,2,53,3.50,Conc 8in,13,3,Good,BiLev (SF),1356,1,1,21,BiLevel,4,402,1,,Single,1356,,,
0020014,1,7,1965,1258.00,Average,1,4,61,4.00,Conc 8in,8,2,Good,1 Story,868,1,,24,One Story,4,261,1,,Single,868,,,
0020016,1,,1998,10678.00,Excellent,3,5,28,7.00,Conc 8in,45,10,Good,2.5U (SF),5320,12,2,14,Contemp,4,3832,1,,Single,1694,3108,,
